,날짜,종가,전일비,시가,고가,저가,거래량
0,2024.04.24,78600,3100,77500,78800,77200,21804564
1,2024.04.23,75500,-600,76400,76800,75500,18717699
2,2024.04.22,76100,-1500,77400,77500,75100,30469477
3,2024.04.19,77600,-2000,78300,78700,76300,31317563
4,2024.04.18,79600,700,78800,80100,78300,21370190
5,2024.04.17,78900,-1100,80700,80800,78900,22611631
6,2024.04.16,80000,-2200,81200,81300,79400,31949845
7,2024.04.15,82200,-1500,82900,83200,81200,26663772
8,2024.04.12,83700,-400,84700,84900,83200,17061770
9,2024.04.11,84100,500,83200,84700,82500,25538009
10,2024.04.09,83600,-900,84500,84900,83100,23725956
11,2024.04.08,84500,0,85200,86000,84500,18953232
12,2024.04.05,84500,-800,84500,85000,83800,18883752
13,2024.04.04,85300,1200,85200,85500,84300,25248934
14,2024.04.03,84100,-900,84300,85000,83500,30493347
15,2024.04.02,85000,3000,82900,85000,82900,37077944
16,2024.04.01,82000,-400,83200,83300,82000,20116513
17,2024.03.29,82400,1600,81200,82500,80900,27126366
18,2024.03.28,80800,1000,79400,81000,79200,25084812
19,2024.03.27,79800,-100,79200,80000,79200,17424595
20,2024.03.26,79900,1700,79700,80100,79200,30551494
21,2024.03.25,78200,-700,79600,79800,77800,18703996
22,2024.03.22,78900,-400,79600,79900,77800,26724761
23,2024.03.21,79300,2400,79200,79300,77700,44569799
24,2024.03.20,76900,4100,73700,77200,73400,50106297
25,2024.03.19,72800,0,72300,73000,71700,15376066
26,2024.03.18,72800,500,72600,73000,72500,11520348
27,2024.03.15,72300,-2000,73400,73700,72300,22580555
28,2024.03.14,74300,200,74400,74500,73600,22545539
29,2024.03.13,74100,800,73700,74100,73500,15243134
30,2024.03.12,73300,900,72600,73500,72100,13011654
31,2024.03.11,72400,-900,72900,73100,72300,9740504
32,2024.03.08,73300,1100,72800,73400,72600,19271349
33,2024.03.07,72200,-700,73100,73300,72200,14516963
34,2024.03.06,72900,-800,73200,73500,72700,21547905
35,2024.03.05,73700,-1200,74600,74800,73700,19505125
36,2024.03.04,74900,1500,74300,75000,74000,23210474
37,2024.02.29,73400,200,72600,73400,72000,21176403
38,2024.02.28,73200,300,72900,73900,72800,11795859
39,2024.02.27,72900,100,73100,73400,72700,13201981
40,2024.02.26,72800,-100,72300,73200,72200,14669352
41,2024.02.23,72900,-200,73600,74200,72900,16225166
42,2024.02.22,73100,100,73800,73900,72700,15208934
43,2024.02.21,73000,-300,73400,73700,72900,11503495
44,2024.02.20,73300,-500,73700,73700,72800,14681477
45,2024.02.19,73800,1000,72800,73900,72800,12726404
46,2024.02.16,72800,-200,73300,73400,72500,13444781
47,2024.02.15,73000,-1000,74200,74400,73000,14120600
48,2024.02.14,74000,-1200,73700,74300,73700,12434945
49,2024.02.13,75200,1100,74800,75200,74400,21966745
50,2024.02.08,74100,-900,75000,75200,73600,20810708
51,2024.02.07,75000,600,74600,75500,74300,16566445
52,2024.02.06,74400,100,74300,74700,73300,14559254
53,2024.02.05,74300,-900,74200,74800,73500,19026021
54,2024.02.02,75200,1600,74000,75200,73700,14955881
55,2024.02.01,73600,900,73000,74200,72900,19881033
56,2024.01.31,72700,-1600,73400,74000,72500,15703560
57,2024.01.30,74300,-100,75000,75300,73700,12244418
58,2024.01.29,74400,1000,73800,75200,73500,13976521
59,2024.01.26,73400,-700,73700,74500,73300,11160062
60,2024.01.25,74100,100,74200,74800,73700,11737747
61,2024.01.24,74000,-1200,75200,75200,73500,12860661
62,2024.01.23,75200,100,75700,75800,74300,14786224
63,2024.01.22,75100,400,75900,76000,75000,19673375
64,2024.01.19,74700,3000,73500,74700,73000,23363427
65,2024.01.18,71700,700,71600,72000,70700,17853397
66,2024.01.17,71000,-1600,73100,73300,71000,22683660
67,2024.01.16,72600,-1300,73500,73700,72500,14760415
68,2024.01.15,73900,800,73200,74000,73200,13212339
69,2024.01.12,73100,-100,73000,74100,72800,13038939
70,2024.01.11,73200,-400,72900,73600,72700,57691266
71,2024.01.10,73600,-1100,75000,75200,73200,20259529
72,2024.01.09,74700,-1800,77400,77700,74300,26019249
73,2024.01.08,76500,-100,77000,77500,76400,11088724
74,2024.01.05,76600,0,76700,77100,76400,11304316
75,2024.01.04,76600,-400,76100,77300,76100,15324439
76,2024.01.03,77000,-2600,78500,78800,77000,21753644
77,2024.01.02,79600,1100,78200,79800,78200,17142847
78,2023.12.28,78500,500,77700,78500,77500,17797536
79,2023.12.27,78000,1400,76700,78000,76500,20651042
80,2023.12.26,76600,700,76100,76700,75700,13164909
81,2023.12.22,75900,900,75800,76300,75400,14515608
82,2023.12.21,75000,200,74600,75000,74300,13478766
83,2023.12.20,74800,1400,74200,74900,73800,16870156
84,2023.12.19,73400,500,73000,73400,72800,8907632
85,2023.12.18,72900,-400,73300,73400,72800,9690551
86,2023.12.15,73300,200,73800,74000,73200,15419815
87,2023.12.14,73100,300,74100,74300,72500,27567593
88,2023.12.13,72800,-700,73300,73500,72800,13116766
89,2023.12.12,73500,500,73300,73500,73100,13758646
90,2023.12.11,73000,400,72800,73000,72200,9861960
91,2023.12.08,72600,1100,72100,72800,71900,10859463
92,2023.12.07,71500,-200,71800,71900,71100,8862017
93,2023.12.06,71700,500,71800,72100,71600,8123087
94,2023.12.05,71200,-1400,72300,72400,71200,12129682
95,2023.12.04,72600,600,72800,72900,72400,10229267
96,2023.12.01,72000,-800,72400,72500,71700,9871284
97,2023.11.30,72800,100,72700,72800,72200,15783714
98,2023.11.29,72700,0,72400,72800,72200,9283933
